Date,Open,High,Low,Close,Volume,Open Interest
2016-12-22,26980.0,27080.0,26862.0,26968.0,6940.0,6587.0
2016-12-23,26995.0,27042.0,26910.0,26994.0,4072.0,6571.0
2016-12-26,27004.0,27068.0,26916.0,27037.0,1599.0,6635.0
2016-12-27,27120.0,27419.0,27061.0,27170.0,7291.0,6424.0
2016-12-28,27238.0,27347.0,27200.0,27300.0,5063.0,6458.0
2016-12-29,27350.0,27589.0,27320.0,27562.0,6923.0,6586.0
2016-12-30,27591.0,27634.0,27421.0,27445.0,6147.0,6538.0
2017-01-02,27401.0,27600.0,27401.0,27570.0,2511.0,6758.0
2017-01-03,27568.0,27823.0,27450.0,27778.0,10700.0,6746.0
2017-01-04,27685.0,27815.0,27657.0,27682.0,7109.0,6932.0
2017-01-05,27800.0,27978.0,27785.0,27948.0,9428.0,7224.0
2017-01-06,27892.0,27983.0,27825.0,27887.0,7963.0,7148.0
2017-01-09,27915.0,28080.0,27841.0,28051.0,6607.0,7566.0
2017-01-10,28020.0,28260.0,28009.0,28144.0,8340.0,7125.0
2017-01-11,28158.0,28345.0,28082.0,28300.0,10240.0,7024.0
2017-01-12,28350.0,28520.0,28337.0,28393.0,9725.0,7283.0
2017-01-13,28360.0,28440.0,28240.0,28380.0,7982.0,7108.0
2017-01-16,28450.0,28607.0,28450.0,28529.0,5159.0,7039.0
2017-01-17,28580.0,28776.0,28571.0,28738.0,9575.0,7202.0
2017-01-18,28738.0,28825.0,28675.0,28791.0,7071.0,7118.0
2017-01-19,28646.0,28646.0,28460.0,28528.0,8966.0,6751.0
2017-01-20,28649.0,28696.0,28533.0,28625.0,7947.0,6589.0
2017-01-23,28650.0,28857.0,28650.0,28803.0,8907.0,7242.0
2017-01-24,28801.0,28801.0,28700.0,28725.0,6174.0,7171.0
2017-01-25,28650.0,28650.0,28357.0,28385.0,8413.0,6264.0
2017-01-27,28250.0,28383.0,28085.0,28353.0,8505.0,5443.0
2017-01-30,28384.0,28560.0,28336.0,28524.0,7722.0,3782.0
2017-01-31,28570.0,28990.0,28570.0,28942.0,6732.0,1528.0
2017-02-02,29065.0,29257.0,28875.0,28981.0,289.0,204.0
2017-02-03,28832.0,28948.0,28718.0,28909.0,8914.0,7048.0
2017-02-06,28950.0,29220.0,28950.0,29193.0,9829.0,7414.0
2017-02-07,29250.0,29348.0,29180.0,29332.0,10037.0,7227.0
2017-02-08,29311.0,29414.0,29241.0,29330.0,9697.0,6986.0
2017-02-09,29338.0,29388.0,29057.0,29089.0,12996.0,6866.0
2017-02-10,29016.0,29204.0,28925.0,29173.0,9465.0,6411.0
2017-02-13,29120.0,29166.0,28941.0,29021.0,7191.0,6496.0
2017-02-14,29050.0,29173.0,28953.0,29001.0,10296.0,6601.0
2017-02-15,29063.0,29170.0,28872.0,29143.0,10915.0,6600.0
2017-02-16,29195.0,29485.0,29182.0,29416.0,10902.0,6991.0
2017-02-17,29347.0,29449.0,29302.0,29360.0,9013.0,6738.0
2017-02-20,29251.0,29325.0,29195.0,29303.0,5923.0,6519.0
2017-02-21,29202.0,29330.0,29075.0,29301.0,11434.0,6318.0
2017-02-22,29240.0,29345.0,29174.0,29208.0,8987.0,6369.0
2017-02-23,29252.0,29468.0,29215.0,29451.0,10185.0,6887.0
2017-02-24,29550.0,29649.0,29511.0,29623.0,5156.0,6840.0
2017-02-27,29587.0,29785.0,29541.0,29710.0,8173.0,6988.0
2017-02-28,29650.0,29650.0,29500.0,29566.0,8860.0,6614.0
2017-03-01,28747.0,28966.0,28580.0,28682.0,13928.0,6993.0
2017-03-02,29419.0,29422.0,29143.0,29170.0,10543.0,6286.0
2017-03-03,29168.0,29200.0,28952.0,29020.0,10009.0,6130.0
2017-03-06,29100.0,29189.0,28923.0,28945.0,8140.0,5892.0
2017-03-07,28941.0,28949.0,28721.0,28751.0,9603.0,6039.0
2017-03-08,28774.0,28775.0,28581.0,28629.0,9221.0,6124.0
2017-03-09,28550.0,28597.0,28402.0,28446.0,10125.0,6074.0
2017-03-10,28350.0,28464.0,28251.0,28366.0,9449.0,5833.0
2017-03-13,28420.0,28420.0,28210.0,28251.0,3193.0,5709.0
2017-03-14,28250.0,28279.0,28055.0,28076.0,8088.0,5838.0
2017-03-15,28054.0,28054.0,27907.0,27985.0,8240.0,5826.0
2017-03-20,28550.0,28599.0,28490.0,28505.0,6771.0,4618.0
2017-03-21,28450.0,28881.0,28392.0,28851.0,11760.0,4126.0
2017-03-22,28811.0,28929.0,28803.0,28885.0,9947.0,4434.0
2017-03-23,28819.0,28948.0,28750.0,28800.0,9685.0,4087.0
2017-03-24,28763.0,28828.0,28703.0,28793.0,6501.0,4209.0
2017-03-27,28870.0,28938.0,28762.0,28807.0,6512.0,3999.0
2017-03-28,28870.0,28938.0,28762.0,28807.0,6512.0,3999.0
2017-03-29,28799.0,28892.0,28760.0,28848.0,7426.0,3394.0
2017-03-30,28695.0,28720.0,28501.0,28542.0,6604.0,2426.0
2017-03-31,28460.0,28527.0,28420.0,28463.0,4870.0,1271.0
2017-04-03,28420.0,28734.0,28404.0,28702.0,859.0,866.0
2017-04-04,28820.0,28963.0,28816.0,28862.0,273.0,609.0
2017-04-05,29040.0,29040.0,28731.0,28805.0,7841.0,6635.0
2017-04-06,28935.0,28950.0,28701.0,28721.0,8221.0,6754.0
2017-04-07,28884.0,29000.0,28661.0,28684.0,12227.0,6928.0
2017-04-10,28682.0,28800.0,28621.0,28739.0,8037.0,6614.0
2017-04-11,28840.0,29229.0,28765.0,29193.0,12356.0,7282.0
2017-04-12,29216.0,29297.0,29167.0,29229.0,9082.0,7467.0
2017-04-13,29300.0,29433.0,29281.0,29409.0,9277.0,7592.0
2017-04-17,29450.0,29483.0,29370.0,29430.0,9120.0,7164.0
2017-04-18,29401.0,29539.0,29252.0,29514.0,11896.0,7261.0
2017-04-19,29414.0,29414.0,29201.0,29305.0,9084.0,6699.0
2017-04-20,29254.0,29342.0,29203.0,29295.0,8575.0,6784.0
2017-04-21,29273.0,29447.0,29223.0,29418.0,8149.0,6699.0
2017-04-24,29250.0,29250.0,28960.0,29131.0,11019.0,5869.0
2017-04-25,29070.0,29070.0,28765.0,28814.0,10433.0,5872.0
2017-04-26,28753.0,28821.0,28660.0,28719.0,9213.0,5733.0
2017-04-27,28789.0,28817.0,28703.0,28769.0,7698.0,5334.0
2017-04-28,28813.0,28897.0,28790.0,28873.0,6486.0,4958.0
2017-05-02,28620.0,28646.0,28554.0,28582.0,7279.0,5233.0
2017-05-03,28572.0,28597.0,28405.0,28472.0,8518.0,5595.0
